epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2878.5,1.05576,0.57686,0.70106,1.12748,0.98466,0.9762,0.97014,0.72348,0.98466,0.9762,0.97014,0.70453,1.01502,0.35205,0.66709,1.15125,0.000742815,0.000742815,0.000742815
30,3004.28,1.10795,0.44121,0.71292,1.16153,0.98175,0.9762,0.97767,0.72527,0.98175,0.9762,0.97767,0.7038,1.03124,0.52845,0.64443,1.17783,0.000709809,0.000709809,0.000709809
31,3125.85,1.05455,0.43796,0.6569,1.13851,0.98502,0.9762,0.98038,0.75306,0.98502,0.9762,0.97433,0.71405,0.96842,0.46469,0.5874,1.13137,0.000676802,0.000676802,0.000676802
32,3259.38,1.0585,0.53784,0.6493,1.12228,0.98338,0.9669,0.98334,0.73606,0.98338,0.9669,0.98334,0.6993,0.975,0.55064,0.64248,1.14688,0.000643795,0.000643795,0.000643795
33,3391.67,1.05375,0.46931,0.66381,1.12826,0.96358,0.97177,0.98306,0.75109,0.96358,0.97177,0.97573,0.7343,0.95354,0.5462,0.60782,1.13704,0.000610789,0.000610789,0.000610789
34,3524.8,1.02423,0.52349,0.6683,1.13064,0.97425,0.96736,0.98218,0.74756,0.97425,0.96736,0.98218,0.72434,0.97379,0.37636,0.59236,1.16981,0.000577782,0.000577782,0.000577782
35,3653.26,1.03291,0.50981,0.60473,1.11975,0.98528,0.9762,0.97898,0.75778,0.98528,0.9762,0.97898,0.71017,0.99339,0.39253,0.57539,1.16768,0.000544776,0.000544776,0.000544776
36,3781.29,1.06702,0.49875,0.66844,1.14242,0.98342,0.96663,0.97384,0.7535,0.98342,0.96663,0.97384,0.73638,0.96316,0.51542,0.57621,1.1243,0.000511769,0.000511769,0.000511769
37,3906.71,1.04107,0.47934,0.65988,1.13152,0.96495,0.97519,0.97954,0.73403,0.96495,0.97519,0.97597,0.7235,0.95411,0.60794,0.61124,1.1441,0.000478762,0.000478762,0.000478762
38,4026.96,1.02867,0.5283,0.64112,1.12262,0.98421,0.97586,0.98012,0.73269,0.98421,0.97586,0.98012,0.72261,0.97474,0.44832,0.59987,1.16562,0.000445756,0.000445756,0.000445756
39,4146.41,1.02568,0.51533,0.63617,1.12264,0.98482,0.9762,0.98202,0.75412,0.98482,0.9762,0.97796,0.71114,0.97928,0.35827,0.59112,1.17529,0.000412749,0.000412749,0.000412749
40,4273.46,1.05502,0.46076,0.62722,1.1524,0.98523,0.9762,0.98293,0.75441,0.98523,0.9762,0.98293,0.72499,0.96166,0.34173,0.58346,1.15381,0.000379743,0.000379743,0.000379743
41,4395.11,0.95429,0.34717,0.5414,1.1076,0.97971,0.97441,0.98146,0.74259,0.97971,0.97441,0.97374,0.71195,0.95939,0.32867,0.6045,1.14693,0.000346736,0.000346736,0.000346736
42,4513.67,0.96082,0.36882,0.53749,1.10171,0.98522,0.9762,0.98189,0.73961,0.98522,0.9762,0.97526,0.6932,0.98845,0.32839,0.59142,1.16975,0.000313729,0.000313729,0.000313729
43,4632.07,0.95849,0.37346,0.53114,1.09739,0.98475,0.9762,0.98088,0.75197,0.98475,0.9762,0.974,0.73262,0.96999,0.32277,0.55481,1.14654,0.000280723,0.000280723,0.000280723
44,4754.41,0.93305,0.34121,0.51296,1.10432,0.9852,0.9762,0.98046,0.7457,0.9852,0.9762,0.97432,0.71805,0.98348,0.3326,0.54324,1.15721,0.000247716,0.000247716,0.000247716
45,4876.92,0.94146,0.33774,0.50496,1.11277,0.98267,0.9762,0.98159,0.74339,0.98267,0.9762,0.98159,0.72173,0.98665,0.33417,0.54856,1.1643,0.00021471,0.00021471,0.00021471
46,4998.79,0.91809,0.32454,0.48542,1.09591,0.97156,0.9762,0.98175,0.73515,0.97156,0.9762,0.97691,0.71551,0.99624,0.33345,0.56145,1.15575,0.000181703,0.000181703,0.000181703
47,5119.93,0.9641,0.32001,0.49487,1.10653,0.98203,0.97578,0.98081,0.74458,0.98203,0.97578,0.98081,0.71744,0.99648,0.33577,0.5558,1.15916,0.000148696,0.000148696,0.000148696
48,5236.89,0.92621,0.38591,0.48614,1.08695,0.98481,0.9762,0.98016,0.76129,0.98481,0.9762,0.97554,0.71544,0.98788,0.33032,0.55436,1.15722,0.00011569,0.00011569,0.00011569
49,5331.86,0.92253,0.33323,0.4583,1.08164,0.98461,0.9762,0.98032,0.75038,0.98461,0.9762,0.98032,0.71616,0.99386,0.33333,0.55313,1.16184,8.26832e-05,8.26832e-05,8.26832e-05
50,5430.09,0.92205,0.34565,0.46833,1.09014,0.98498,0.9762,0.98051,0.74311,0.98498,0.9762,0.97633,0.7183,0.99729,0.34593,0.54659,1.16605,4.96766e-05,4.96766e-05,4.96766e-05
